id,reference,,output text,,"Similar meaning (0=no, 1=yes)","Well-formedness (by email standards) (0=badly-formed, 1=well-formed)","Formality (0=informal, 1=formal)"
0,Here is what I have. They are agency letters.,,what I mean: They are agency,,1,0,0
6,"We are waiting to hear. We have received documents from them, but no definitive word. Kay Jim Gilbert@ECT 12/19/2000 04:32 PM",,waiting to hear... we have bound new from them... but no official word since Kay Jim Gilbert@ECT 12/19/2000 04:32,,1,1,0
12,dryan1@houston.rr.com,,Dryan1@houston.rr.com,,1,0,0
18,send it to these guysssssssssss John Berkley john.m.berkley@aexp.com David Lee david.m.lee@aexp.com Thanks ja,,it to these guys. Thanksssssss John Berkley john.m.berkley@aexp.com David Lee david.m.lee@aexp.com Thanks,,1,0,0
24,please add a box of packaged peanuts thanks,,add a box of peanuts. I'd like to add a box of peanuts. I'd like to add a box of peanuts. Thanks. Thanks. I'd like to add a box of peanuts. Thanks.,,1,0,1
30,Great. I'll come around in a bit and fill you in. Kay,,I'll come around a bit and fill you in....,,1,1,0
36,fyi (I've asked Sheila to add your name to the list). Sara,,I've asked Melissa to add your name to the list.,,1,1,0
42,"No problem, Lindy did all the hard work!",,"sir, Lindy did all the hard",,1,0,1
48,Thanx!,,thank!,,1,1,0
54,These are done. Have a good weekend! Kate Lester Rawson 04/13/2001 02:57 PM,,", Kate Lester Rawson.. Have a great weekend, Kate Lester Rawson. Have a great weekend, Kate Lester Rawson.",,1,0,0
60,"can i write you a check for this? and, by the way, have people been paying you, because alot of people dont read their email",,"somebody write you a check for this information and, by the way, have people been ignoring you, because alot of people never answer their",,1,0,0
66,Thanx Chris,,,,0,0,0
72,The deed is done. Chris,,.. Chris has done the deed. Chris has done the deed. Chris has done the deed. Chris has done the deed. Chris has done the deed. Chris has done the deed. Chris has done the dee,,1,0,1
78,Please see below and let me know your thoughts on the GTC/confirmation question? Thanks Carlos,,see below and let me know your thoughts on the GMC/conf bacon here:,,1,1,1
84,Thanks! Tanya Rohauer 06/29/99 09:12 AM,,Tanya Rohauer 06/29/99 09:12,,0,1,0
90,No. Sounds right. -------------------------- Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net),,s from myBlackBerry Wireless Handheld..'s from myBlackBerry Wireless Handheld.. right. right...... Sounds right to me. Sounds right. Sounds right to me,,1,0,0
96,"Grace, you should be a mid-marketer - you've got that supply and demand thing DOWN, girl! GRACE RODRIGUEZ 01/25/2001 08:17 AM",,"Grace, I have that supply and demand thing down. You do not need to be a mid-marketer. Mike",,0,1,1
102,"Meeting with Cindy Olson, et al to prepare for 1:30 all-HR meeting",,.. The meeting will be for 1:30 all-HR meeting. The meeting will be for 1:30 all-HR meeting......-HR meeting. will be for 1:30 all-HR meeting.-HR,,1,0,1
