id,reference,,output text,,"Similar meaning (0=no, 1=yes)","Well-formedness (by email standards) (0=badly-formed, 1=well-formed)","Formality (0=informal, 1=formal)"
3,"Hi Brett, I haven't seen the fax yet. I'll check around. Maybe it got stuck in the wrong pile. Kay Brett R Wiggs 01/03/2001 04:29 AM",,"Brett, I haven't seen the fax yet - I'll check later... Maybe it got put in the wrong pile? - Brett R Wiggs 01/03/2001 04:29",,1,1,1
9,I'm talking about the member interest power in particular. We don't have to have to send them the Darst stuff today. I have another piece of paper that Dave needs to sign as well.,,Ok we dont need to deliver the Darst stuff anymore...I have another draft up that Dave needs to sign also...,,0,1,0
15,Firsst article attached refers to the 1946 Nebraska case I mentioned to you= =20 in DC,,article later looking to the same Nebraska case I mentioned to >= = Here in,,0,0,0
21,fyi,,,,0,0,0
27,One of us can. Fred Mitro@ECT 02/15/2001 04:47 PM,,Fred Mitro is the one among us can,,0,0,0
33,It's about your benefits and crap like that...You have to fill out all of these forms and stuff. Did you get a packet of stuff to fill out?,,about your benefits and things like thatYou have to fill out all of these forms and things. Did you get a packet of paperwork to fill,,1,0,1
39,User iD: enronccw PW: bnaweb22,,Title: enronccCapt:,,0,0,0
45,"Hey, they are making me crazy and I'm just reading your emails. Kay Alan Larsen@ECT 12/19/2000 10:59 AM",,why am I just reading your emails today its crazy!!,,0,1,0
51,lists@nbr.org on 03/21/2001 04:02:46 PM,,Jason_list@nbr.org@03/21/2001 04:02:46 PM,,0,0,0
57,FYI,,,,0,0,0
63,FYI,,,,0,0,0
69,are we going to work out with Dean tomarrow?,,going to work with us?? Will Dean be working with us? Is Dean going to work with us? Is Dean going to work with us? Is Dean going to work with us? Is Dean going to work with us?,,0,0,0
75,Fun That's cool. I think AEC is going to do it financially with us and take care of buying the phys in the market. Did you get 80 million? Chris,,i think that's cool. get it done financially with us and we take care of the buying,,0,0,0
81,"Thanks for the email. If Rock of Ages #7 is available, we would like to put a reserve on it. Can you send me more info on the artist? Regards, Jeff",,"for the email. If Rock of Ages #7 is available, we would like to put a reserve on it. Can you send me more info on the artist? Regards,",,1,0,1
87,"Interesting stuff -- Richardson redux, etc.",,", including Richardson redundancy.., including Richardson redundancy. stuff.. stuff, including Richardson redundancy., including Richardson redundancy.., including Richardson redundancy...",,0,0,0
93,"564894 - changed to Bloomberg - but it's a buy, not a sale - is this the same deal prebon is missing? Evelyn Metoyer@ENRON 03/29/2001 02:25 PM",,"This as buy,not sale. It follows Work",,0,0,0
