id,reference,,output text,,"Similar meaning (0=no, 1=yes)","Well-formedness (by email standards) (0=badly-formed, 1=well-formed)","Formality (0=informal, 1=formal)"
0,Here is what I have. They are agency letters.,,what I mean: They are agency,,1,0,0
6,"We are waiting to hear. We have received documents from them, but no definitive word. Kay Jim Gilbert@ECT 12/19/2000 04:32 PM",,waiting to hear... we have bound new from them... but no official word since Kay Jim Gilbert@ECT 12/19/2000 04:32,,1,0,0
12,dryan1@houston.rr.com,,Dryan1@houston.rr.com,,1,0,0
18,send it to these guysssssssssss John Berkley john.m.berkley@aexp.com David Lee david.m.lee@aexp.com Thanks ja,,it to these guys. Thanksssssss John Berkley john.m.berkley@aexp.com David Lee david.m.lee@aexp.com Thanks,,0,0,0
24,please add a box of packaged peanuts thanks,,add a box of peanuts. I'd like to add a box of peanuts. I'd like to add a box of peanuts. Thanks. Thanks. I'd like to add a box of peanuts. Thanks.,,1,0,0
30,Great. I'll come around in a bit and fill you in. Kay,,I'll come around a bit and fill you in....,,1,0,0
36,fyi (I've asked Sheila to add your name to the list). Sara,,I've asked Melissa to add your name to the list.,,0,1,1
42,"No problem, Lindy did all the hard work!",,"sir, Lindy did all the hard",,1,0,0
48,Thanx!,,thank!,,1,0,0
54,These are done. Have a good weekend! Kate Lester Rawson 04/13/2001 02:57 PM,,", Kate Lester Rawson.. Have a great weekend, Kate Lester Rawson. Have a great weekend, Kate Lester Rawson.",,1,0,0
60,"can i write you a check for this? and, by the way, have people been paying you, because alot of people dont read their email",,"somebody write you a check for this information and, by the way, have people been ignoring you, because alot of people never answer their",,1,0,0
66,Thanx Chris,,,,0,0,0
72,The deed is done. Chris,,.. Chris has done the deed. Chris has done the deed. Chris has done the deed. Chris has done the deed. Chris has done the deed. Chris has done the deed. Chris has done the dee,,0,0,0
78,Please see below and let me know your thoughts on the GTC/confirmation question? Thanks Carlos,,see below and let me know your thoughts on the GMC/conf bacon here:,,1,0,0
84,Thanks! Tanya Rohauer 06/29/99 09:12 AM,,Tanya Rohauer 06/29/99 09:12,,0,1,0
90,No. Sounds right. -------------------------- Sent from my BlackBerry Wireless Handheld (www.BlackBerry.net),,s from myBlackBerry Wireless Handheld..'s from myBlackBerry Wireless Handheld.. right. right...... Sounds right to me. Sounds right. Sounds right to me,,1,0,0
96,"Grace, you should be a mid-marketer - you've got that supply and demand thing DOWN, girl! GRACE RODRIGUEZ 01/25/2001 08:17 AM",,"Grace, I have that supply and demand thing down. You do not need to be a mid-marketer. Mike",,0,1,0
102,"Meeting with Cindy Olson, et al to prepare for 1:30 all-HR meeting",,.. The meeting will be for 1:30 all-HR meeting. The meeting will be for 1:30 all-HR meeting......-HR meeting. will be for 1:30 all-HR meeting.-HR,,0,0,0
108,We have received the executed EEI Master Power Purchase and Sale Agreement dated 2/1/2001 from the referenced CP. Copies will be distributed to Legal and Credit.,,CP..CP.. EEI Master Power Purchase Sale Agreement.CP.CP.CP.CP. EEI Master Power Purchase Sale Agreement from the referencedCP. referencedCP. referencedCP. reference,,0,0,0
114,FYI,,That's correct. That's correct. That's correct. That's correct. That's correct. That's correct. That's correct.,,0,0,0
120,"No problem, Lindy did all the hard work!",,"s I did the rest. a problem, Lindy did it. I was just happy to have the time to play. I'm so glad I did it. I love it. I love it. I love it. I love it. I love it.",,0,0,0
126,"Hi Bob, I believe I gave on October 24, so I'll go again around Christmas. I'm glad that you've gotten some good news, and here's hoping for a much better 2001! Kay",,Gladlad you've got some good news - here's hoping for a better 2001!,,0,0,0
132,"Thanks Casey, sorry to annoy Billy! Lisa",,"I'm sorry Billy. I'll try to get him to stop.. I'll try to get Billy to stop. Thanks Lisa, I'm sorry Billy. Thanks Billy. Thanks Lisa. Thanks Lisa. Thanks Billy. Thanks Lisa. Thanks Lisa. Thanks",,0,0,0
138,"Thanks! My friend Donna called me yesterday and we were just talking about Carson. On a slightly different note, can I take you up on your offer to call Ofelia about not showing up on Thanksgiving Day? Sara",,i got a call from Donna yesterday - she's been talking over Carson but she said I would call Ofelia if i am out for Thanksgiving Day... thanks,,0,1,0
144,Marcie Youngerman just called with a request for a sample ISDA. No CP name. Exclusions included. Today. Thanks. Sara,,Youngerman just called with a request for a sample ISDA. No CP name. Exclusions included. Today. Thanks.,,1,1,0
150,Attached is a new credit worksheet for Capex. SS,,.. Please check it out.. Please check it out. There is a new credit spreadsheet for Capex....... has a new credit spreadsheet for Capex. has a new credit spreadsheet for,,1,0,0
156,"Gentlemen, This is now back to being the CA Development I and II deal. Please change the name. Please send it to me and Lee Johnson tomorrow, if possible. Kay",,. Thank you. Thank you. I would like to communicate it to Lee Johnson tomorrow... CA Development I and II... Please change it back to CA Development I and II. and II....,,0,0,0
